期号,数字,触发极冷位置,触发位置遗漏期数,其他位置1,位置1遗漏期数,其他位置2,位置2遗漏期数
5123,0,百位,147,十位,27,个位,11
5124,0,百位,148,十位,28,个位,12
5125,0,百位,149,十位,29,个位,13
5126,0,百位,150,十位,0,个位,14
5127,0,百位,151,十位,1,个位,15
5128,0,百位,152,十位,2,个位,16
5129,0,百位,153,十位,3,个位,17
5130,0,百位,154,十位,0,个位,18
5131,0,百位,155,十位,1,个位,19
5132,0,百位,156,十位,2,个位,20
5133,0,百位,157,十位,3,个位,21
5134,0,百位,158,十位,4,个位,22
5135,0,百位,159,十位,0,个位,23
5136,0,百位,160,十位,1,个位,24
5137,0,百位,161,十位,2,个位,25
5139,0,百位,162,十位,3,个位,26
5140,0,百位,163,十位,4,个位,27
5141,0,百位,164,十位,5,个位,28
5142,0,百位,165,十位,6,个位,29
5143,0,百位,166,十位,0,个位,30
5144,0,百位,167,十位,0,个位,31
5146,0,百位,168,十位,1,个位,32
5147,0,百位,169,十位,0,个位,33
5148,0,百位,170,十位,1,个位,34
5149,0,百位,171,十位,2,个位,35
5150,0,百位,172,十位,3,个位,36
5151,0,百位,173,十位,4,个位,37
5152,0,百位,174,十位,5,个位,0
5153,0,百位,175,十位,6,个位,1
5154,0,百位,176,十位,7,个位,2
5156,0,百位,177,十位,8,个位,3
5157,0,百位,178,十位,9,个位,4
5158,0,百位,179,十位,10,个位,5
5159,0,百位,180,十位,11,个位,6
5160,0,百位,181,十位,0,个位,7
5161,0,百位,182,十位,1,个位,8
5162,0,百位,183,十位,2,个位,9
5163,0,百位,184,十位,3,个位,10
5165,0,百位,185,十位,4,个位,11
5166,0,百位,186,十位,5,个位,12
5167,0,百位,187,十位,6,个位,13
5168,0,百位,188,十位,7,个位,14
5169,0,百位,189,十位,0,个位,15
5170,0,百位,190,十位,1,个位,16
5171,0,百位,191,十位,2,个位,17
5171,8,十位,56,百位,11,个位,5
5172,0,百位,192,十位,3,个位,18
5172,8,十位,57,百位,12,个位,6
5173,0,百位,193,十位,4,个位,19
5173,8,十位,58,百位,13,个位,7
5174,0,百位,194,十位,0,个位,20
5174,8,十位,59,百位,14,个位,8
5175,0,百位,195,十位,1,个位,21
5175,8,十位,60,百位,0,个位,9
5176,0,百位,196,十位,2,个位,22
5176,8,十位,61,百位,1,个位,10
5177,0,百位,197,十位,3,个位,23
5177,8,十位,62,百位,2,个位,11
5180,0,百位,198,十位,0,个位,24
5180,8,十位,63,百位,3,个位,12
5181,0,百位,199,十位,1,个位,25
5181,8,十位,64,百位,4,个位,13
5182,0,百位,200,十位,0,个位,26
5182,8,十位,65,百位,5,个位,14
5183,0,百位,201,十位,1,个位,27
5183,8,十位,66,百位,6,个位,15
5184,0,百位,202,十位,2,个位,28
5184,8,十位,67,百位,7,个位,16
5185,0,百位,203,十位,3,个位,29
5186,0,百位,204,十位,4,个位,30
5187,0,百位,205,十位,0,个位,31
5188,0,百位,206,十位,1,个位,32
5189,0,百位,207,十位,2,个位,33
5190,0,百位,208,十位,0,个位,34
5191,0,百位,209,十位,1,个位,35
5192,0,百位,210,十位,0,个位,36
5193,0,百位,211,十位,1,个位,37
5194,0,百位,212,十位,2,个位,38
5195,0,百位,213,十位,3,个位,39
5197,0,百位,214,十位,4,个位,40
5198,0,百位,215,十位,5,个位,41
5199,0,百位,216,十位,6,个位,42
5200,0,百位,217,十位,7,个位,43
5202,0,百位,218,十位,8,个位,44
5202,5,十位,56,百位,4,个位,19
5203,0,百位,219,十位,9,个位,0
5203,5,十位,57,百位,5,个位,20
5204,0,百位,220,十位,10,个位,1
5204,5,十位,58,百位,6,个位,21
5205,0,百位,221,十位,0,个位,2
5205,5,十位,59,百位,0,个位,22
5206,0,百位,222,十位,1,个位,3
5206,5,十位,60,百位,1,个位,0
5207,0,百位,223,十位,2,个位,4
5208,0,百位,224,十位,3,个位,5
5209,0,百位,225,十位,4,个位,0
5210,0,百位,226,十位,5,个位,1
5211,0,百位,227,十位,6,个位,2
5212,0,百位,228,十位,7,个位,3
5213,0,百位,229,十位,8,个位,0
5214,0,百位,230,十位,9,个位,1
5215,0,百位,231,十位,10,个位,2
5216,0,百位,232,十位,11,个位,3
5217,0,百位,233,十位,12,个位,4
5218,0,百位,234,十位,13,个位,5
5219,0,百位,235,十位,14,个位,6
5220,0,百位,236,十位,15,个位,7
5221,0,百位,237,十位,0,个位,8
5222,0,百位,238,十位,1,个位,0
5223,0,百位,239,十位,2,个位,1
5224,0,百位,240,十位,3,个位,2
5225,0,百位,241,十位,4,个位,3
5226,0,百位,242,十位,0,个位,4
5227,0,百位,243,十位,1,个位,5
5228,0,百位,244,十位,2,个位,6
5228,1,个位,56,百位,13,十位,8
5229,0,百位,245,十位,3,个位,7
5229,1,个位,57,百位,14,十位,9
5230,0,百位,246,十位,4,个位,8
5230,1,个位,58,百位,15,十位,0
5232,0,百位,247,十位,5,个位,9
5232,1,个位,59,百位,16,十位,1
5233,0,百位,248,十位,6,个位,10
5233,1,个位,60,百位,17,十位,2
5234,0,百位,249,十位,7,个位,11
5234,1,个位,61,百位,18,十位,3
5235,0,百位,250,十位,8,个位,12
5235,1,个位,62,百位,0,十位,4
5236,0,百位,251,十位,9,个位,13
5236,1,个位,63,百位,1,十位,5
5237,0,百位,252,十位,10,个位,14
5237,1,个位,64,百位,2,十位,6
5238,0,百位,253,十位,0,个位,0
5238,1,个位,65,百位,3,十位,7
5239,0,百位,254,十位,1,个位,1
5239,1,个位,66,百位,4,十位,8
5240,0,百位,255,十位,2,个位,2
5240,1,个位,67,百位,5,十位,9
5241,0,百位,256,十位,3,个位,3
5241,1,个位,68,百位,6,十位,0
5242,0,百位,257,十位,4,个位,4
5242,1,个位,69,百位,7,十位,1
5243,0,百位,258,十位,5,个位,5
5243,1,个位,70,百位,8,十位,2
5244,0,百位,259,十位,6,个位,6
5244,1,个位,71,百位,9,十位,3
5245,0,百位,260,十位,7,个位,7
5245,1,个位,72,百位,10,十位,4
5246,0,百位,261,十位,8,个位,8
5246,1,个位,73,百位,11,十位,5
5247,0,百位,262,十位,9,个位,9
5247,1,个位,74,百位,12,十位,6
5248,0,百位,263,十位,10,个位,0
5248,1,个位,75,百位,13,十位,0
5249,0,百位,264,十位,11,个位,1
5251,0,百位,265,十位,12,个位,2
5253,0,百位,266,十位,13,个位,3
5254,0,百位,267,十位,14,个位,4
5255,0,百位,268,十位,0,个位,5
5256,0,百位,269,十位,1,个位,6
5258,0,百位,270,十位,2,个位,7
5259,0,百位,271,十位,3,个位,8
5260,0,百位,272,十位,4,个位,9
5261,0,百位,273,十位,5,个位,10
5262,0,百位,274,十位,6,个位,11
5263,0,百位,275,十位,7,个位,0
5264,0,百位,276,十位,8,个位,1
5265,0,百位,277,十位,0,个位,2
5266,0,百位,278,十位,1,个位,3
5267,0,百位,279,十位,0,个位,4
5268,0,百位,280,十位,1,个位,5
5269,0,百位,281,十位,2,个位,6
5270,0,百位,282,十位,3,个位,7
5271,0,百位,283,十位,0,个位,8
5272,0,百位,284,十位,1,个位,9
5273,0,百位,285,十位,2,个位,10
5274,0,百位,286,十位,3,个位,11
5275,0,百位,287,十位,4,个位,12
5276,0,百位,288,十位,5,个位,0
5278,0,百位,289,十位,6,个位,1
5279,0,百位,290,十位,7,个位,2
5280,0,百位,291,十位,8,个位,3
5281,0,百位,292,十位,9,个位,4
5282,0,百位,293,十位,10,个位,5
5283,0,百位,294,十位,11,个位,6
5284,0,百位,295,十位,12,个位,7
5285,0,百位,296,十位,13,个位,0
5286,0,百位,297,十位,14,个位,1
5287,0,百位,298,十位,15,个位,2
5288,0,百位,299,十位,16,个位,3
5289,0,百位,300,十位,17,个位,4
5290,0,百位,301,十位,0,个位,5
5291,0,百位,302,十位,0,个位,6
5292,0,百位,303,十位,1,个位,7
5294,0,百位,304,十位,2,个位,8
5295,0,百位,305,十位,3,个位,0
5296,0,百位,306,十位,4,个位,1
5297,0,百位,307,十位,5,个位,2
5298,0,百位,308,十位,6,个位,3
5299,0,百位,309,十位,0,个位,4
5300,0,百位,310,十位,1,个位,5
5301,0,百位,311,十位,2,个位,6
5302,0,百位,312,十位,3,个位,7
5303,0,百位,313,十位,4,个位,8
5304,0,百位,314,十位,5,个位,9
5305,0,百位,315,十位,6,个位,10
5306,0,百位,316,十位,7,个位,11
5307,0,百位,317,十位,8,个位,0
5308,0,百位,318,十位,9,个位,1
5309,0,百位,319,十位,10,个位,2
5311,0,百位,320,十位,11,个位,3
5312,0,百位,321,十位,12,个位,0
5313,0,百位,322,十位,13,个位,1
5314,0,百位,323,十位,14,个位,2
5315,0,百位,324,十位,15,个位,0
5316,0,百位,325,十位,16,个位,0
5317,0,百位,326,十位,17,个位,1
5319,0,百位,327,十位,18,个位,2
5321,0,百位,328,十位,19,个位,3
5322,0,百位,329,十位,0,个位,4
5323,0,百位,330,十位,1,个位,5
5324,0,百位,331,十位,2,个位,6
5325,0,百位,332,十位,3,个位,7
5326,0,百位,333,十位,4,个位,8
5327,0,百位,334,十位,0,个位,9
5328,0,百位,335,十位,1,个位,10
5329,0,百位,336,十位,2,个位,11
5330,0,百位,337,十位,3,个位,12
5331,0,百位,338,十位,4,个位,13
5332,0,百位,339,十位,5,个位,0
5333,0,百位,340,十位,6,个位,1
5334,0,百位,341,十位,7,个位,2
5335,0,百位,342,十位,8,个位,3
5336,0,百位,343,十位,9,个位,4
5337,0,百位,344,十位,10,个位,5
5338,0,百位,345,十位,11,个位,6
5339,0,百位,346,十位,12,个位,7
5340,0,百位,347,十位,13,个位,0
5341,0,百位,348,十位,14,个位,1
5342,0,百位,349,十位,0,个位,2
5343,0,百位,350,十位,1,个位,3
5344,0,百位,351,十位,2,个位,4
5345,0,百位,352,十位,3,个位,5
5346,0,百位,353,十位,4,个位,6
5347,0,百位,354,十位,5,个位,7
5348,0,百位,355,十位,6,个位,8
5349,0,百位,356,十位,7,个位,9
5350,0,百位,357,十位,8,个位,10
5351,0,百位,358,十位,9,个位,11
5352,0,百位,359,十位,10,个位,12
5356,0,百位,360,十位,11,个位,13
5357,0,百位,361,十位,12,个位,14
5358,0,百位,362,十位,13,个位,15
6001,0,百位,363,十位,14,个位,16
6002,0,百位,364,十位,15,个位,17
6004,0,百位,365,十位,16,个位,18
6005,0,百位,366,十位,17,个位,0
6006,0,百位,367,十位,18,个位,1
6007,0,百位,368,十位,19,个位,2
6008,0,百位,369,十位,20,个位,3
6009,0,百位,370,十位,21,个位,4
6010,0,百位,371,十位,0,个位,5
6011,0,百位,372,十位,1,个位,6
6012,0,百位,373,十位,2,个位,7
6013,0,百位,374,十位,3,个位,8
6014,0,百位,375,十位,4,个位,9
6015,0,百位,376,十位,5,个位,10
6016,0,百位,377,十位,6,个位,11
6017,0,百位,378,十位,7,个位,12
6018,0,百位,379,十位,8,个位,13
6019,0,百位,380,十位,9,个位,14
6020,0,百位,381,十位,10,个位,15
6021,0,百位,382,十位,11,个位,0
6022,0,百位,383,十位,12,个位,1
6023,0,百位,384,十位,13,个位,2
6024,0,百位,385,十位,14,个位,3
6025,0,百位,386,十位,15,个位,4
6026,0,百位,387,十位,0,个位,5
6027,0,百位,388,十位,1,个位,6
6028,0,百位,389,十位,0,个位,7
6029,0,百位,390,十位,1,个位,8
6031,0,百位,391,十位,0,个位,9
6032,0,百位,392,十位,1,个位,10
6033,0,百位,393,十位,2,个位,11
6034,0,百位,394,十位,3,个位,12
6035,0,百位,395,十位,4,个位,13
6036,0,百位,396,十位,5,个位,14
6037,0,百位,397,十位,6,个位,15
6038,0,百位,398,十位,7,个位,16
6039,0,百位,399,十位,8,个位,17
6040,0,百位,400,十位,9,个位,18
6041,0,百位,401,十位,10,个位,19
6043,0,百位,402,十位,11,个位,20
6045,0,百位,403,十位,12,个位,21
6046,0,百位,404,十位,13,个位,22
6047,0,百位,405,十位,14,个位,23
6048,0,百位,406,十位,15,个位,24
6049,0,百位,407,十位,16,个位,25
6050,0,百位,408,十位,17,个位,26
6051,0,百位,409,十位,18,个位,27
6052,0,百位,410,十位,19,个位,28
6053,0,百位,411,十位,0,个位,29
6054,0,百位,412,十位,1,个位,30
6055,0,百位,413,十位,0,个位,31
6056,0,百位,414,十位,1,个位,0
6057,0,百位,415,十位,2,个位,1
6058,0,百位,416,十位,3,个位,2
6059,0,百位,417,十位,0,个位,0
6061,0,百位,418,十位,1,个位,0
6062,0,百位,419,十位,2,个位,1
6063,0,百位,420,十位,3,个位,2
6064,0,百位,421,十位,4,个位,3
6065,0,百位,422,十位,5,个位,4
6066,0,百位,423,十位,6,个位,5
6067,0,百位,424,十位,7,个位,6
6070,0,百位,425,十位,8,个位,7
6071,0,百位,426,十位,9,个位,8
6072,0,百位,427,十位,0,个位,9
6073,0,百位,428,十位,1,个位,0
6074,0,百位,429,十位,0,个位,1
6075,0,百位,430,十位,1,个位,2
6076,0,百位,431,十位,2,个位,3
6077,0,百位,432,十位,3,个位,4
6078,0,百位,433,十位,0,个位,5
6079,0,百位,434,十位,1,个位,6
6080,0,百位,435,十位,2,个位,7
6081,0,百位,436,十位,3,个位,8
6082,0,百位,437,十位,4,个位,9
6083,0,百位,438,十位,5,个位,10
6084,0,百位,439,十位,6,个位,11
6085,0,百位,440,十位,7,个位,12
6086,0,百位,441,十位,8,个位,13
6087,0,百位,442,十位,9,个位,14
6088,0,百位,443,十位,10,个位,15
6089,0,百位,444,十位,11,个位,16
6090,0,百位,445,十位,12,个位,17
6091,0,百位,446,十位,13,个位,18
6092,0,百位,447,十位,14,个位,19
6093,0,百位,448,十位,15,个位,20
6095,0,百位,449,十位,16,个位,21
6096,0,百位,450,十位,0,个位,22
6097,0,百位,451,十位,1,个位,23
6098,0,百位,452,十位,2,个位,24
6099,0,百位,453,十位,3,个位,0
6100,0,百位,454,十位,4,个位,1
6101,0,百位,455,十位,5,个位,2
6102,0,百位,456,十位,6,个位,0
6103,0,百位,457,十位,7,个位,0
6104,0,百位,458,十位,8,个位,1
6105,0,百位,459,十位,9,个位,2
6106,0,百位,460,十位,10,个位,3
6107,0,百位,461,十位,11,个位,4
6108,0,百位,462,十位,12,个位,0
6109,0,百位,463,十位,13,个位,1
6110,0,百位,464,十位,0,个位,2
6111,0,百位,465,十位,1,个位,3
6112,0,百位,466,十位,2,个位,4
6113,0,百位,467,十位,3,个位,5
6114,0,百位,468,十位,0,个位,6
6115,0,百位,469,十位,1,个位,7
6116,0,百位,470,十位,2,个位,8
6117,0,百位,471,十位,3,个位,9
6118,0,百位,472,十位,4,个位,10
6119,0,百位,473,十位,5,个位,0
6120,0,百位,474,十位,0,个位,0
6121,0,百位,475,十位,1,个位,1
6122,0,百位,476,十位,2,个位,2
6123,0,百位,477,十位,3,个位,0
6124,0,百位,478,十位,4,个位,1
6125,0,百位,479,十位,5,个位,2
6126,0,百位,480,十位,6,个位,3
6127,0,百位,481,十位,7,个位,4
6128,0,百位,482,十位,0,个位,5
6129,0,百位,483,十位,1,个位,0
6130,0,百位,484,十位,2,个位,1
6131,0,百位,485,十位,0,个位,2
6133,0,百位,486,十位,1,个位,3
6135,0,百位,487,十位,2,个位,4
6136,0,百位,488,十位,3,个位,5
6137,0,百位,489,十位,4,个位,6
6139,0,百位,490,十位,5,个位,7
6140,0,百位,491,十位,6,个位,8
6141,0,百位,492,十位,7,个位,0
6142,0,百位,493,十位,8,个位,1
6143,0,百位,494,十位,9,个位,2
6144,0,百位,495,十位,0,个位,3
6145,0,百位,496,十位,1,个位,4
6146,0,百位,497,十位,2,个位,5
6147,0,百位,498,十位,3,个位,6
6148,0,百位,499,十位,4,个位,7
6151,0,百位,500,十位,5,个位,0
6152,0,百位,501,十位,6,个位,1
6153,0,百位,502,十位,7,个位,2
6154,0,百位,503,十位,8,个位,0
6155,0,百位,504,十位,9,个位,1
6156,0,百位,505,十位,10,个位,2
6158,0,百位,506,十位,11,个位,3
6159,0,百位,507,十位,12,个位,4
6160,0,百位,508,十位,13,个位,5
6161,0,百位,509,十位,14,个位,6
6162,0,百位,510,十位,15,个位,7
6163,0,百位,511,十位,16,个位,8
6164,0,百位,512,十位,17,个位,9
6165,0,百位,513,十位,18,个位,10
6166,0,百位,514,十位,19,个位,11
6167,0,百位,515,十位,20,个位,12
6168,0,百位,516,十位,21,个位,13
6169,0,百位,517,十位,22,个位,14
6170,0,百位,518,十位,23,个位,15
6171,0,百位,519,十位,0,个位,16
6172,0,百位,520,十位,1,个位,17
6174,0,百位,521,十位,2,个位,18
6176,0,百位,522,十位,3,个位,19
6177,0,百位,523,十位,4,个位,20
6178,0,百位,524,十位,5,个位,21
6179,0,百位,525,十位,6,个位,22
6180,0,百位,526,十位,7,个位,23
6181,0,百位,527,十位,8,个位,24
6182,0,百位,528,十位,9,个位,25
6183,0,百位,529,十位,10,个位,26
6184,0,百位,530,十位,11,个位,27
6185,0,百位,531,十位,12,个位,0
6186,0,百位,532,十位,0,个位,0
6187,0,百位,533,十位,1,个位,1
6188,0,百位,534,十位,2,个位,2
6189,0,百位,535,十位,3,个位,3
6190,0,百位,536,十位,4,个位,4
6191,0,百位,537,十位,5,个位,5
6192,0,百位,538,十位,6,个位,6
6193,0,百位,539,十位,0,个位,0
6194,0,百位,540,十位,1,个位,1
6195,0,百位,541,十位,2,个位,2
6196,0,百位,542,十位,3,个位,3
6197,0,百位,543,十位,4,个位,4
6198,0,百位,544,十位,5,个位,5
6200,0,百位,545,十位,6,个位,6
6201,0,百位,546,十位,7,个位,7
6202,0,百位,547,十位,8,个位,8
6203,0,百位,548,十位,9,个位,9
6204,0,百位,549,十位,10,个位,10
6205,0,百位,550,十位,11,个位,11
6206,0,百位,551,十位,12,个位,12
6207,0,百位,552,十位,13,个位,13
6208,0,百位,553,十位,14,个位,14
6209,0,百位,554,十位,15,个位,15
6210,0,百位,555,十位,16,个位,16
6211,0,百位,556,十位,17,个位,17
6212,0,百位,557,十位,18,个位,18
6213,0,百位,558,十位,19,个位,19
6214,0,百位,559,十位,20,个位,20
6215,0,百位,560,十位,21,个位,0
6216,0,百位,561,十位,22,个位,1
6217,0,百位,562,十位,23,个位,2
6218,0,百位,563,十位,24,个位,3
6219,0,百位,564,十位,25,个位,4
6220,0,百位,565,十位,26,个位,5
6221,0,百位,566,十位,27,个位,6
6222,0,百位,567,十位,28,个位,7
6223,0,百位,568,十位,29,个位,8
6224,0,百位,569,十位,30,个位,0
6225,0,百位,570,十位,0,个位,1
6226,0,百位,571,十位,1,个位,2
6227,0,百位,572,十位,0,个位,3
6228,0,百位,573,十位,1,个位,4
6229,0,百位,574,十位,2,个位,5
6230,0,百位,575,十位,3,个位,6
6232,0,百位,576,十位,4,个位,7
6233,0,百位,577,十位,5,个位,8
6234,0,百位,578,十位,6,个位,9
6235,0,百位,579,十位,7,个位,10
6236,0,百位,580,十位,8,个位,11
6237,0,百位,581,十位,9,个位,12
6238,0,百位,582,十位,10,个位,13
6239,0,百位,583,十位,11,个位,14
6240,0,百位,584,十位,12,个位,15
6241,0,百位,585,十位,13,个位,16
6242,0,百位,586,十位,14,个位,17
6243,0,百位,587,十位,15,个位,18
6244,0,百位,588,十位,16,个位,19
6246,0,百位,589,十位,17,个位,20
6247,0,百位,590,十位,18,个位,21
6248,0,百位,591,十位,19,个位,22
6249,0,百位,592,十位,20,个位,23
6250,0,百位,593,十位,21,个位,24
6251,0,百位,594,十位,22,个位,25
6252,0,百位,595,十位,23,个位,26
6253,0,百位,596,十位,24,个位,27
6254,0,百位,597,十位,25,个位,28
6255,0,百位,598,十位,26,个位,29
6256,0,百位,599,十位,27,个位,30
6257,0,百位,600,十位,28,个位,31
6258,0,百位,601,十位,0,个位,32
6259,0,百位,602,十位,1,个位,0
6260,0,百位,603,十位,2,个位,1
6261,0,百位,604,十位,3,个位,2
6262,0,百位,605,十位,4,个位,3
6263,0,百位,606,十位,5,个位,4
6264,0,百位,607,十位,6,个位,5
6265,0,百位,608,十位,7,个位,6
6266,0,百位,609,十位,8,个位,7
6267,0,百位,610,十位,9,个位,8
6268,0,百位,611,十位,10,个位,9
6270,0,百位,612,十位,11,个位,10
6271,0,百位,613,十位,12,个位,11
6272,0,百位,614,十位,13,个位,12
6273,0,百位,615,十位,14,个位,13
6274,0,百位,616,十位,15,个位,14
6275,0,百位,617,十位,0,个位,15
6276,0,百位,618,十位,1,个位,16
6277,0,百位,619,十位,2,个位,0
6278,0,百位,620,十位,0,个位,1
6279,0,百位,621,十位,1,个位,2
6280,0,百位,622,十位,2,个位,3
6281,0,百位,623,十位,0,个位,4
6282,0,百位,624,十位,1,个位,5
6284,0,百位,625,十位,2,个位,6
6285,0,百位,626,十位,3,个位,7
6286,0,百位,627,十位,4,个位,8
6287,0,百位,628,十位,5,个位,9
6288,0,百位,629,十位,6,个位,10
6289,0,百位,630,十位,7,个位,11
6290,0,百位,631,十位,8,个位,12
6291,0,百位,632,十位,0,个位,13
6292,0,百位,633,十位,1,个位,14
6294,0,百位,634,十位,2,个位,15
6295,0,百位,635,十位,3,个位,16
6296,0,百位,636,十位,4,个位,17
6297,0,百位,637,十位,0,个位,18
6298,0,百位,638,十位,0,个位,0
6299,0,百位,639,十位,1,个位,1
6300,0,百位,640,十位,2,个位,2
6301,0,百位,641,十位,3,个位,3
6302,0,百位,642,十位,4,个位,4
6303,0,百位,643,十位,5,个位,5
6304,0,百位,644,十位,6,个位,6
6305,0,百位,645,十位,7,个位,7
6306,0,百位,646,十位,8,个位,8
6307,0,百位,647,十位,9,个位,9
6308,0,百位,648,十位,10,个位,10
6309,0,百位,649,十位,11,个位,11
6310,0,百位,650,十位,12,个位,12
6311,0,百位,651,十位,13,个位,13
6312,0,百位,652,十位,0,个位,14
6313,0,百位,653,十位,1,个位,0
6314,0,百位,654,十位,2,个位,0
6316,0,百位,655,十位,3,个位,1
6317,0,百位,656,十位,4,个位,2
6318,0,百位,657,十位,5,个位,3
6319,0,百位,658,十位,6,个位,4
6320,0,百位,659,十位,7,个位,5
6321,0,百位,660,十位,8,个位,6
6322,0,百位,661,十位,9,个位,7
6323,0,百位,662,十位,10,个位,8
6324,0,百位,663,十位,11,个位,9
6325,0,百位,664,十位,12,个位,10
6326,0,百位,665,十位,13,个位,11
6327,0,百位,666,十位,14,个位,12
6328,0,百位,667,十位,15,个位,13
6329,0,百位,668,十位,16,个位,14
6330,0,百位,669,十位,17,个位,15
6333,0,百位,670,十位,18,个位,16
6334,0,百位,671,十位,19,个位,17
6335,0,百位,672,十位,20,个位,18
6336,0,百位,673,十位,21,个位,19
6337,0,百位,674,十位,22,个位,20
6338,0,百位,675,十位,23,个位,21
6340,0,百位,676,十位,24,个位,0
6341,0,百位,677,十位,25,个位,1
6342,0,百位,678,十位,26,个位,2
6343,0,百位,679,十位,27,个位,3
6344,0,百位,680,十位,28,个位,4
6346,0,百位,681,十位,29,个位,5
6347,0,百位,682,十位,30,个位,6
6348,0,百位,683,十位,31,个位,7
6349,0,百位,684,十位,32,个位,8
6350,0,百位,685,十位,33,个位,9
6351,0,百位,686,十位,34,个位,10
6352,0,百位,687,十位,35,个位,11
6353,0,百位,688,十位,36,个位,12
6354,0,百位,689,十位,37,个位,13
6355,0,百位,690,十位,38,个位,14
6356,0,百位,691,十位,39,个位,15
6357,0,百位,692,十位,40,个位,16
7003,0,百位,693,十位,41,个位,17
7004,0,百位,694,十位,42,个位,18
7006,0,百位,695,十位,43,个位,19
7007,0,百位,696,十位,44,个位,20
7008,0,百位,697,十位,45,个位,21
7009,0,百位,698,十位,46,个位,22
7010,0,百位,699,十位,47,个位,23
7011,0,百位,700,十位,48,个位,24
7012,0,百位,701,十位,49,个位,25
7013,0,百位,702,十位,0,个位,26
7015,0,百位,703,十位,1,个位,27
7016,0,百位,704,十位,2,个位,28
7017,0,百位,705,十位,3,个位,29
7018,0,百位,706,十位,4,个位,30
7019,0,百位,707,十位,0,个位,31
7020,0,百位,708,十位,1,个位,32
7021,0,百位,709,十位,2,个位,33
7022,0,百位,710,十位,3,个位,34
7023,0,百位,711,十位,4,个位,35
7024,0,百位,712,十位,5,个位,36
